event_id,access_point_id,access_point_name,zone_id,risk_level,employee_id,timestamp,access_granted,is_anomaly,anomaly_type
EVT-0000001,AP-01,Main Entrance,ZN-06,low,EMP-0124,2026-07-20 10:00:06,True,False,
EVT-0008259,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0088,2026-07-20 10:00:09,True,False,
EVT-0016259,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0079,2026-07-20 10:00:13,True,False,
EVT-0027038,AP-06,Loading Dock,,medium,EMP-0058,2026-07-20 10:00:16,True,False,
EVT-0024781,AP-05,Executive Wing Door,ZN-08,medium,EMP-0015,2026-07-20 10:01:01,True,False,
EVT-0027036,AP-06,Loading Dock,,medium,EMP-0023,2026-07-20 10:01:01,True,False,
EVT-0027037,AP-06,Loading Dock,,medium,EMP-0066,2026-07-20 10:01:09,True,False,
EVT-0008257,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0009,2026-07-20 10:01:17,True,False,
EVT-0008258,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0055,2026-07-20 10:01:45,True,False,
EVT-0016256,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0008,2026-07-20 10:02:12,True,False,
EVT-0016257,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0001,2026-07-20 10:02:19,True,False,
EVT-0024782,AP-05,Executive Wing Door,ZN-08,medium,EMP-0129,2026-07-20 10:02:30,True,False,
EVT-0000005,AP-01,Main Entrance,ZN-06,low,EMP-0016,2026-07-20 10:02:51,True,False,
EVT-0024780,AP-05,Executive Wing Door,ZN-08,medium,EMP-0054,2026-07-20 10:03:03,True,False,
EVT-0000006,AP-01,Main Entrance,ZN-06,low,EMP-0119,2026-07-20 10:03:06,True,False,
EVT-0000004,AP-01,Main Entrance,ZN-06,low,EMP-0040,2026-07-20 10:03:07,True,False,
EVT-0000002,AP-01,Main Entrance,ZN-06,low,EMP-0013,2026-07-20 10:03:17,False,True,repeated_denial
EVT-0024312,AP-04,Server Room Door,ZN-07,high,EMP-0044,2026-07-20 10:03:20,False,True,unauthorized_restricted_zone_access
EVT-0029252,AP-07,Emergency Exit - East,,medium,EMP-0074,2026-07-20 10:04:13,True,False,
EVT-0016258,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0098,2026-07-20 10:04:50,True,False,
EVT-0000003,AP-01,Main Entrance,ZN-06,low,EMP-0080,2026-07-20 10:04:57,True,False,
EVT-0016260,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0127,2026-07-20 10:05:04,False,False,
EVT-0000012,AP-01,Main Entrance,ZN-06,low,EMP-0002,2026-07-20 10:05:11,True,False,
EVT-0024784,AP-05,Executive Wing Door,ZN-08,medium,EMP-0038,2026-07-20 10:05:24,True,False,
EVT-0000007,AP-01,Main Entrance,ZN-06,low,EMP-0099,2026-07-20 10:05:32,True,False,
EVT-0029253,AP-07,Emergency Exit - East,,medium,EMP-0128,2026-07-20 10:05:40,True,False,
EVT-0029254,AP-07,Emergency Exit - East,,medium,EMP-0076,2026-07-20 10:05:57,False,False,
EVT-0000010,AP-01,Main Entrance,ZN-06,low,EMP-0022,2026-07-20 10:06:11,True,False,
EVT-0000008,AP-01,Main Entrance,ZN-06,low,EMP-0081,2026-07-20 10:06:18,True,False,
EVT-0008261,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0051,2026-07-20 10:07:42,True,False,
EVT-0016261,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0026,2026-07-20 10:08:18,True,False,
EVT-0024783,AP-05,Executive Wing Door,ZN-08,medium,EMP-0027,2026-07-20 10:08:34,True,False,
EVT-0008260,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0137,2026-07-20 10:08:45,True,False,
EVT-0016262,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0128,2026-07-20 10:08:52,True,False,
EVT-0000009,AP-01,Main Entrance,ZN-06,low,EMP-0063,2026-07-20 10:09:43,True,False,
EVT-0000011,AP-01,Main Entrance,ZN-06,low,EMP-0137,2026-07-20 10:09:59,True,False,
EVT-0000017,AP-01,Main Entrance,ZN-06,low,EMP-0005,2026-07-20 10:10:07,True,False,
EVT-0000013,AP-01,Main Entrance,ZN-06,low,EMP-0051,2026-07-20 10:10:32,True,False,
EVT-0016264,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0038,2026-07-20 10:11:00,True,False,
EVT-0024786,AP-05,Executive Wing Door,ZN-08,medium,EMP-0029,2026-07-20 10:11:01,True,False,
EVT-0024785,AP-05,Executive Wing Door,ZN-08,medium,EMP-0035,2026-07-20 10:11:02,True,False,
EVT-0008262,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0003,2026-07-20 10:11:04,True,False,
EVT-0016266,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0059,2026-07-20 10:11:05,True,False,
EVT-0027040,AP-06,Loading Dock,,medium,EMP-0051,2026-07-20 10:11:05,True,False,
EVT-0016265,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0069,2026-07-20 10:11:16,True,False,
EVT-0000018,AP-01,Main Entrance,ZN-06,low,EMP-0063,2026-07-20 10:11:51,True,False,
EVT-0024787,AP-05,Executive Wing Door,ZN-08,medium,EMP-0038,2026-07-20 10:13:19,True,False,
EVT-0000016,AP-01,Main Entrance,ZN-06,low,EMP-0042,2026-07-20 10:13:26,True,False,
EVT-0000014,AP-01,Main Entrance,ZN-06,low,EMP-0001,2026-07-20 10:13:43,True,False,
EVT-0000015,AP-01,Main Entrance,ZN-06,low,EMP-0119,2026-07-20 10:13:44,True,False,
EVT-0008264,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0092,2026-07-20 10:13:52,True,False,
